date,symbol,price
2016-12-01,MSFT,59.2
2017-01-01,MSFT,62.6
2017-02-01,MSFT,63.6
2017-03-01,MSFT,64.94
2017-04-01,MSFT,65.56
2017-05-01,MSFT,69.44
2017-06-01,MSFT,70.1
2017-07-01,MSFT,68.2
2017-08-01,MSFT,72.56
2017-09-01,MSFT,73.94
2017-10-01,MSFT,74.6
2017-11-01,MSFT,83.2
2017-12-01,MSFT,84.25
2018-01-01,MSFT,85.94
2018-02-01,MSFT,94.25
2018-03-01,MSFT,92.9
2018-04-01,MSFT,88.5
2018-05-01,MSFT,95.0
2018-06-01,MSFT,100.8
2018-07-01,MSFT,100.0
2018-08-01,MSFT,106.25
2018-09-01,MSFT,111.7
2018-10-01,MSFT,115.6
2018-11-01,MSFT,105.94
2018-12-01,MSFT,112.06
2019-01-01,MSFT,101.1
2019-02-01,MSFT,102.75
2019-03-01,MSFT,112.5
2019-04-01,MSFT,119.0
2019-05-01,MSFT,127.9
2019-06-01,MSFT,119.8
2019-07-01,MSFT,135.6
2019-08-01,MSFT,138.0
2019-09-01,MSFT,136.0
2019-10-01,MSFT,137.1
2019-11-01,MSFT,143.8
2019-12-01,MSFT,149.5
2020-01-01,MSFT,160.6
2020-02-01,MSFT,174.4
2020-03-01,MSFT,172.8
2020-04-01,MSFT,152.1
2020-05-01,MSFT,174.6
2020-06-01,MSFT,182.9
2020-07-01,MSFT,204.8
2020-08-01,MSFT,216.5
2020-09-01,MSFT,227.2
2020-10-01,MSFT,212.5
2020-11-01,MSFT,202.4
2020-12-01,MSFT,216.2
2021-01-01,MSFT,217.8
2021-02-01,MSFT,239.6
2021-03-01,MSFT,237.0
2021-04-01,MSFT,242.4
2021-05-01,MSFT,251.9
2021-06-01,MSFT,247.4
2021-07-01,MSFT,271.5
2021-08-01,MSFT,284.8
2021-09-01,MSFT,301.8
2021-10-01,MSFT,289.0
2010-01-01,NFLX,7.64
2010-02-01,NFLX,8.72
2010-03-01,NFLX,9.96
2010-04-01,NFLX,10.71
2010-05-01,NFLX,14.57
2010-06-01,NFLX,15.33
2010-07-01,NFLX,15.664
2010-08-01,NFLX,14.555
2010-09-01,NFLX,19.27
2010-10-01,NFLX,22.1
2010-11-01,NFLX,23.9
2010-12-01,NFLX,28.6
2011-01-01,NFLX,25.48
2011-02-01,NFLX,30.42
2011-03-01,NFLX,29.23
2011-04-01,NFLX,34.6
2011-05-01,NFLX,33.88
2011-06-01,NFLX,38.2
2011-07-01,NFLX,38.28
2011-08-01,NFLX,37.62
2011-09-01,NFLX,33.3
2011-10-01,NFLX,16.17
2011-11-01,NFLX,11.445
2011-12-01,NFLX,9.59
2012-01-01,NFLX,10.32
2012-02-01,NFLX,17.56
2012-03-01,NFLX,16.11
2012-04-01,NFLX,16.28
2012-05-01,NFLX,11.625
2012-06-01,NFLX,8.99
2012-07-01,NFLX,9.695
2012-08-01,NFLX,7.785
2012-09-01,NFLX,7.99
2012-10-01,NFLX,8.01
2012-11-01,NFLX,11.1
2012-12-01,NFLX,10.86
2013-01-01,NFLX,13.14
2013-02-01,NFLX,23.55
2013-03-01,NFLX,27.05
2013-04-01,NFLX,26.06
2013-05-01,NFLX,30.42
2013-06-01,NFLX,31.7
2013-07-01,NFLX,32.03
2013-08-01,NFLX,35.6
2013-09-01,NFLX,41.28
2013-10-01,NFLX,46.38
2013-11-01,NFLX,47.03
2013-12-01,NFLX,52.0
2014-01-01,NFLX,51.84
